State,,Concerned,Slightly concerned,Somewhat anxious and/or scared,Totally fine,Very anxious and/or scared,Grand Total
,NJ,31.65%,3.80%,42.41%,3.16%,18.99%,100.00%
,2,25.71%,2.86%,40.00%,8.57%,22.86%,100.00%
,3,24.00%,4.00%,28.00%,4.00%,40.00%,100.00%
,4,37.78%,2.22%,46.67%,0.00%,13.33%,100.00%
,5,33.96%,5.66%,47.17%,1.89%,11.32%,100.00%
,NM,42.86%,0.00%,28.57%,0.00%,28.57%,100.00%
,2,0.00%,0.00%,100.00%,0.00%,0.00%,100.00%
,3,50.00%,0.00%,0.00%,0.00%,50.00%,100.00%
,4,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,5,50.00%,0.00%,25.00%,0.00%,25.00%,100.00%
,NV,56.25%,0.00%,18.75%,0.00%,25.00%,100.00%
,2,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%
,3,50.00%,0.00%,0.00%,0.00%,50.00%,100.00%
,4,55.56%,0.00%,33.33%,0.00%,11.11%,100.00%
,5,100.00%,0.00%,0.00%,0.00%,0.00%,100.00%
,NY,27.24%,6.50%,43.64%,1.81%,20.81%,100.00%
,2,26.39%,5.83%,43.61%,2.50%,21.67%,100.00%
,3,20.31%,5.75%,42.53%,1.15%,30.27%,100.00%
,4,31.32%,7.18%,43.10%,1.44%,16.95%,100.00%
,5,28.92%,6.99%,44.82%,1.93%,17.35%,100.00%
,OH,35.19%,5.56%,46.30%,0.00%,12.96%,100.00%
,2,44.44%,0.00%,44.44%,0.00%,11.11%,100.00%
,3,30.00%,0.00%,50.00%,0.00%,20.00%,100.00%
,4,21.43%,7.14%,57.14%,0.00%,14.29%,100.00%
,5,42.86%,9.52%,38.10%,0.00%,9.52%,100.00%
,OK,40.00%,0.00%,30.00%,10.00%,20.00%,100.00%
,2,33.33%,0.00%,33.33%,33.33%,0.00%,100.00%
,3,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%
,4,66.67%,0.00%,33.33%,0.00%,0.00%,100.00%
,5,33.33%,0.00%,33.33%,0.00%,33.33%,100.00%
,OR,24.62%,4.62%,41.54%,6.15%,23.08%,100.00%
,2,35.00%,0.00%,40.00%,5.00%,20.00%,100.00%
,3,11.76%,5.88%,47.06%,5.88%,29.41%,100.00%
,4,18.75%,6.25%,43.75%,6.25%,25.00%,100.00%
,5,33.33%,8.33%,33.33%,8.33%,16.67%,100.00%
,PA,35.96%,4.39%,30.70%,1.75%,27.19%,100.00%
,2,37.93%,10.34%,31.03%,3.45%,17.24%,100.00%
,3,30.77%,7.69%,23.08%,0.00%,38.46%,100.00%
,4,41.18%,0.00%,26.47%,0.00%,32.35%,100.00%
,5,31.58%,2.63%,36.84%,2.63%,26.32%,100.00%
,PR,100.00%,0.00%,0.00%,0.00%,0.00%,100.00%
,2,100.00%,0.00%,0.00%,0.00%,0.00%,100.00%
,3,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,4,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,5,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,RI,35.71%,7.14%,42.86%,0.00%,14.29%,100.00%
,2,50.00%,0.00%,50.00%,0.00%,0.00%,100.00%
,3,33.33%,0.00%,33.33%,0.00%,33.33%,100.00%
,4,20.00%,20.00%,60.00%,0.00%,0.00%,100.00%
,5,50.00%,0.00%,0.00%,0.00%,50.00%,100.00%
,SC,33.33%,4.17%,41.67%,0.00%,20.83%,100.00%
,2,0.00%,0.00%,50.00%,0.00%,50.00%,100.00%
,3,50.00%,0.00%,0.00%,0.00%,50.00%,100.00%
,4,41.67%,8.33%,41.67%,0.00%,8.33%,100.00%
,5,25.00%,0.00%,50.00%,0.00%,25.00%,100.00%
,SD,0.00%,0.00%,100.00%,0.00%,0.00%,100.00%
,2,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,3,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,4,0.00%,0.00%,100.00%,0.00%,0.00%,100.00%
